epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4418,1.18757,2.5243,1.00887,0,0,0,0,0,0,0,0.000359752,0.000359752,0.000359752
2,65.6341,1.10269,1.37824,0.96963,0,0,0,0,0,0,0,0.00071563,0.00071563,0.00071563
3,97.5799,1.06111,1.21284,0.95717,0,0,0,0,0,0,0,0.00105684,0.00105684,0.00105684
4,130.58,1.02898,1.07747,0.95206,0,0,0,0,0,0,0,0.00104501,0.00104501,0.00104501
5,164.089,1.02019,0.99869,0.94505,0,0,0,0,0,0,0,0.00102301,0.00102301,0.00102301
6,199.929,0.99502,0.95712,0.93746,0,0,0,0,0,0,0,0.00100101,0.00100101,0.00100101
7,236.351,0.97747,0.91604,0.9353,0,0,0,0,0,0,0,0.000979013,0.000979013,0.000979013
8,274.858,0.95961,0.87463,0.9367,0,0,0,0,0,0,0,0.000957015,0.000957015,0.000957015
9,313.307,0.95157,0.84475,0.93688,0,0,0,0,0,0,0,0.000935018,0.000935018,0.000935018
10,352.29,0.93096,0.81572,0.92797,0,0,0,0,0,0,0,0.00091302,0.00091302,0.00091302
11,390.394,0.91159,0.79512,0.92125,0,0,0,0,0,0,0,0.000891022,0.000891022,0.000891022
12,430.707,0.91718,0.77849,0.92521,0,0,0,0,0,0,0,0.000869024,0.000869024,0.000869024
13,471.189,0.91739,0.74711,0.92017,0,0,0,0,0,0,0,0.000847026,0.000847026,0.000847026
14,512.845,0.89903,0.72919,0.92501,0,0,0,0,0,0,0,0.000825029,0.000825029,0.000825029
15,553.77,0.90615,0.71268,0.91421,0,0,0,0,0,0,0,0.000803031,0.000803031,0.000803031
16,596.985,0.90407,0.68965,0.91745,0,0,0,0,0,0,0,0.000781033,0.000781033,0.000781033
17,637.45,0.88032,0.68454,0.90834,0,0,0,0,0,0,0,0.000759035,0.000759035,0.000759035
18,681.645,0.87091,0.66985,0.90909,0,0,0,0,0,0,0,0.000737037,0.000737037,0.000737037
19,728.066,0.87061,0.66155,0.9067,0,0,0,0,0,0,0,0.00071504,0.00071504,0.00071504
20,773.398,0.87778,0.65801,0.90656,0,0,0,0,0,0,0,0.000693042,0.000693042,0.000693042
21,817.035,0.84332,0.63604,0.90109,0,0,0,0,0,0,0,0.000671044,0.000671044,0.000671044
22,864.843,0.85476,0.61588,0.9011,0,0,0,0,0,0,0,0.000649046,0.000649046,0.000649046
23,909.35,0.83951,0.63506,0.90043,0,0,0,0,0,0,0,0.000627048,0.000627048,0.000627048
24,956.802,0.8432,0.63475,0.90148,0,0,0,0,0,0,0,0.000605051,0.000605051,0.000605051
25,1003.57,0.82661,0.59875,0.89718,0,0,0,0,0,0,0,0.000583053,0.000583053,0.000583053
26,1049.71,0.84244,0.59418,0.89755,0,0,0,0,0,0,0,0.000561055,0.000561055,0.000561055
27,1097.33,0.81612,0.57961,0.89417,0,0,0,0,0,0,0,0.000539057,0.000539057,0.000539057
28,1145.14,0.80446,0.56834,0.89277,0,0,0,0,0,0,0,0.000517059,0.000517059,0.000517059
29,1193.39,0.81604,0.56818,0.88979,0,0,0,0,0,0,0,0.000495062,0.000495062,0.000495062
30,1238.27,0.79905,0.55322,0.8896,0,0,0,0,0,0,0,0.000473064,0.000473064,0.000473064
31,1286.72,0.80294,0.56728,0.89089,0,0,0,0,0,0,0,0.000451066,0.000451066,0.000451066
32,1333.22,0.78038,0.54358,0.88312,0,0,0,0,0,0,0,0.000429068,0.000429068,0.000429068
33,1382.27,0.79279,0.55142,0.88641,0,0,0,0,0,0,0,0.00040707,0.00040707,0.00040707
